PropertyName,StartDate,Year Completed/Expected,ConstructionStatus,UnitCount,MarketName,SubmarketName,Latitude,Longitude,Year Started/Expected,Start_year_range,Completion_year_range
Westwood Green,2016-08-01,2018,Existing,300,"Denver, CO",Lakewood/West Corridor,39.677064,-105.078488,2016.0,nan,2018-2020
Yale 25 Station Apartments,2016-10-01,2018,Existing,112,"Denver, CO",Glendale University Area,39.66776,-104.929087,2016.0,nan,2018-2020
The Henry,2017-04-01,2018,Existing,403,"Denver, CO",Downtown Denver,39.697525,-104.984074,2017.0,nan,2018-2020
Sentral Union Station,2015-06-01,2018,Existing,579,"Denver, CO",Downtown Denver,39.755119,-105.001531,2015.0,nan,2018-2020
The Lydian,2016-09-01,2018,Existing,129,"Denver, CO",Downtown Denver,39.753439,-104.979394,2016.0,nan,2018-2020
The Village & Greens at Southglenn,2016-02-01,2018,Existing,60,"Denver, CO",Englewood/Littleton,39.591764,-104.965833,2016.0,nan,2018-2020
Alto at Westminster,2016-07-01,2018,Existing,70,"Denver, CO",Northeast Adams County,39.824834,-105.025665,2016.0,nan,2018-2020
St. Paul Collection,2017-01-01,2018,Existing,165,"Denver, CO",Downtown Denver,39.720318,-104.951373,2017.0,nan,2018-2020
1880 Little Raven,2016-09-01,2018,Existing,161,"Denver, CO",Downtown Denver,39.758361,-105.002711,2016.0,nan,2018-2020
Elements at Prairie Center,2016-10-01,2018,Existing,288,"Denver, CO",Northeast Adams County,39.957523,-104.785719,2016.0,nan,2018-2020
Caliber at Hyland Village,2016-10-01,2018,Existing,164,"Denver, CO",North Jefferson County,39.871103,-105.05547,2016.0,nan,2018-2020
The Ranch at First Creek,2016-12-01,2018,Existing,264,"Denver, CO",East Denver,39.79308,-104.773259,2016.0,nan,2018-2020
The Montane,2016-04-01,2018,Existing,400,"Denver, CO",South Douglas County,39.560809,-104.777446,2016.0,nan,2018-2020
The Carillon at Belleview Station,2016-09-01,2018,Existing,180,"Denver, CO",DTC/Southeast Corridor,39.626034,-104.909612,2016.0,nan,2018-2020
Edison at Rino,2016-07-01,2018,Existing,277,"Denver, CO",Downtown Denver,39.7662,-104.985199,2016.0,nan,2018-2020
St. Francis Apartments at Cathedral Square,2016-11-01,2018,Existing,50,"Denver, CO",Downtown Denver,39.739119,-104.97854,2016.0,nan,2018-2020
The Ridge at Thornton Station,2016-12-01,2018,Existing,280,"Denver, CO",Northwest Adams County,39.880482,-104.942351,2016.0,nan,2018-2020
Ride at RiNo,2017-04-01,2018,Existing,84,"Denver, CO",Downtown Denver,39.770921,-104.976607,2017.0,nan,2018-2020
Fifty Eight Hundred,2017-05-01,2018,Existing,152,"Denver, CO",Lakewood/West Corridor,39.710839,-105.060954,2017.0,nan,2018-2020
Covell on the Promenade,2016-12-01,2018,Existing,300,"Denver, CO",North Jefferson County,39.891672,-105.065671,2016.0,nan,2018-2020
Arabelle Lincoln Station,2017-10-01,2018,Existing,232,"Denver, CO",Highlands Ranch-Lone Tree,39.54232,-104.871645,2017.0,nan,2018-2020
Broadway Lofts,2016-10-01,2018,Existing,111,"Denver, CO",Englewood/Littleton,39.654704,-104.988305,2016.0,nan,2018-2020
Modera River North,2016-11-01,2018,Existing,182,"Denver, CO",Downtown Denver,39.762051,-104.983769,2016.0,nan,2018-2020
The Tenzing,2017-01-01,2018,Existing,320,"Denver, CO",Northwest Adams County,39.908942,-105.004687,2017.0,nan,2018-2020
Station A at Gateway Park,2017-09-01,2018,Existing,400,"Denver, CO",East Denver,39.778698,-104.801333,2017.0,nan,2018-2020
Park Sixty Four,2017-10-01,2019,Existing,64,"Denver, CO",South Douglas County,39.519951,-104.762374,2017.0,nan,2018-2020
1600 Hoyt,2018-06-01,2019,Existing,64,"Denver, CO",Lakewood/West Corridor,39.741539,-105.103169,2018.0,2018-2020,2018-2020
High Line Pointe Luxury Apartments,2017-06-01,2019,Existing,190,"Denver, CO",Aurora,39.692405,-104.894988,2017.0,nan,2018-2020
The Quayle,2017-12-01,2019,Existing,102,"Denver, CO",Downtown Denver,39.718505,-104.987748,2017.0,nan,2018-2020
Radiant,2017-01-01,2019,Existing,329,"Denver, CO",Downtown Denver,39.749472,-104.984404,2017.0,nan,2018-2020
Indy Street Flats,2018-02-01,2019,Existing,115,"Denver, CO",Lakewood/West Corridor,39.738992,-105.104409,2018.0,2018-2020,2018-2020
"Solana Lakewood
",2017-10-01,2019,Existing,230,"Denver, CO",Lakewood/West Corridor,39.741529,-105.12133,2017.0,nan,2018-2020
Botanica Town Center,2016-03-01,2019,Existing,153,"Denver, CO",East Denver,39.75615,-104.899771,2016.0,nan,2018-2020
SOVA,2017-07-01,2019,Existing,211,"Denver, CO",Downtown Denver,39.746536,-104.983913,2017.0,nan,2018-2020
Arroyo Village,2018-01-01,2019,Existing,130,"Denver, CO",West Denver,39.736055,-105.032482,2018.0,2018-2020,2018-2020
Tangent Apartments,2017-06-01,2019,Existing,140,"Denver, CO",DTC/Southeast Corridor,39.637561,-104.911736,2017.0,nan,2018-2020
Westerly,2018-01-01,2019,Existing,345,"Denver, CO",South Jefferson County,39.560617,-105.123077,2018.0,2018-2020,2018-2020
Avilla Buffalo Run,2018-04-01,2019,Existing,123,"Denver, CO",Northeast Adams County,39.913441,-104.802256,2018.0,2018-2020,2018-2020
Caliber at Flatirons,2018-04-01,2019,Existing,288,"Denver, CO",Broomfield County,39.948823,-105.122283,2018.0,2018-2020,2018-2020
Greenbelt at Town Center,,2019,Existing,79,"Denver, CO",East Denver,39.755268,-104.90023,2017.291390728477,nan,2018-2020
Elevate at Pena Station,2018-03-01,2019,Existing,218,"Denver, CO",East Denver,39.808443,-104.778936,2018.0,2018-2020,2018-2020
Crossing Pointe North,2018-09-01,2019,Existing,64,"Denver, CO",Northeast Adams County,39.88452,-104.938046,2018.0,2018-2020,2018-2020
Vista El Rancho,,2019,Existing,55,"Denver, CO",South Jefferson County,39.696189,-105.32488,2017.291390728477,nan,2018-2020
Peak 83,2017-09-01,2019,Existing,255,"Denver, CO",South Douglas County,39.506485,-104.761981,2017.0,nan,2018-2020
AMLI Riverfront Green,2016-09-01,2019,Existing,304,"Denver, CO",Downtown Denver,39.757102,-105.003828,2016.0,nan,2018-2020
20th Street Station Apartments,2016-08-01,2019,Existing,354,"Denver, CO",Downtown Denver,39.749213,-104.986481,2016.0,nan,2018-2020
Fusion 355,2017-08-01,2019,Existing,286,"Denver, CO",Broomfield County,39.923667,-105.12236,2017.0,nan,2018-2020
Alas over Lowry,2018-01-01,2019,Existing,300,"Denver, CO",East Denver,39.721733,-104.888867,2018.0,2018-2020,2018-2020
Bonaventure of Thornton,2017-01-01,2019,Existing,152,"Denver, CO",Northwest Adams County,39.91858,-104.976328,2017.0,nan,2018-2020
Hawthorne Hill 2,2018-09-01,2019,Existing,93,"Denver, CO",Northwest Adams County,39.9128,-104.95458,2018.0,2018-2020,2018-2020
Oak Street Station,2017-05-01,2019,Existing,292,"Denver, CO",Lakewood/West Corridor,39.738258,-105.117288,2017.0,nan,2018-2020
Arapahoe Square,2016-10-01,2019,Existing,355,"Denver, CO",Downtown Denver,39.750842,-104.982862,2016.0,nan,2018-2020
Gables Residences,2016-06-01,2019,Existing,122,"Denver, CO",Downtown Denver,39.711219,-104.94447,2016.0,nan,2018-2020
Parq on Speer,2017-06-01,2019,Existing,302,"Denver, CO",Downtown Denver,39.730896,-104.990562,2017.0,nan,2018-2020
Cortland at Coalton,2018-05-01,2019,Existing,198,"Denver, CO",Broomfield County,39.927599,-105.138629,2018.0,2018-2020,2018-2020
The Villas at Prairie Center,2018-02-01,2019,Existing,136,"Denver, CO",Northeast Adams County,39.957177,-104.789222,2018.0,2018-2020,2018-2020
Ascent Westminster,2017-04-01,2019,Existing,255,"Denver, CO",North Jefferson County,39.857289,-105.059559,2017.0,nan,2018-2020
The Point at Biscay,2018-01-01,2019,Existing,96,"Denver, CO",Aurora,39.655503,-104.767276,2018.0,2018-2020,2018-2020
Sobo Station,2017-09-01,2019,Existing,187,"Denver, CO",Downtown Denver,39.712404,-104.994396,2017.0,nan,2018-2020
Baker School Apartments,2018-02-01,2019,Existing,142,"Denver, CO",Northeast Adams County,39.81341,-105.033659,2018.0,2018-2020,2018-2020
The Ridge Pinehurst,2017-12-01,2019,Existing,325,"Denver, CO",South Jefferson County,39.639758,-105.078251,2017.0,nan,2018-2020
Cortland Cap Hill,2017-06-01,2019,Existing,197,"Denver, CO",Downtown Denver,39.735724,-104.983141,2017.0,nan,2018-2020
TriVista on Speer,2017-03-01,2019,Existing,322,"Denver, CO",Downtown Denver,39.737686,-104.995845,2017.0,nan,2018-2020
AMLI Littleton Village Apartments,2016-07-01,2019,Existing,352,"Denver, CO",Englewood/Littleton,39.581545,-104.984278,2016.0,nan,2018-2020
Springs at Eagle Bend,2017-11-01,2019,Existing,280,"Denver, CO",Aurora,39.577171,-104.720562,2017.0,nan,2018-2020
Epoque Golden,2018-01-01,2019,Existing,120,"Denver, CO",North Jefferson County,39.775511,-105.23443,2018.0,2018-2020,2018-2020
Eaton Street Apartments,2018-03-01,2019,Existing,118,"Denver, CO",North Jefferson County,39.85793,-105.058516,2018.0,2018-2020,2018-2020
Canvas on Blake,2017-07-01,2019,Existing,241,"Denver, CO",Downtown Denver,39.758808,-104.989313,2017.0,nan,2018-2020
Riverwalk,2017-06-01,2019,Existing,230,"Denver, CO",South Douglas County,39.371681,-104.86063,2017.0,nan,2018-2020
Civic Lofts,2017-02-01,2019,Existing,176,"Denver, CO",Downtown Denver,39.736546,-104.992614,2017.0,nan,2018-2020
The Argonne,2017-12-01,2019,Existing,324,"Denver, CO",East Denver,39.79919,-104.766073,2017.0,nan,2018-2020
North Range Crossings,2017-09-01,2019,Existing,217,"Denver, CO",Northeast Adams County,39.884215,-104.820002,2017.0,nan,2018-2020
Gateway South,,2019,Existing,90,"Denver, CO",West Denver,39.733475,-105.021921,2017.291390728477,nan,2018-2020
Boulevard 1 Residences,2018-01-01,2019,Existing,72,"Denver, CO",Glendale University Area,39.714674,-104.910413,2018.0,2018-2020,2018-2020
Gateway at Arvada Ridge Apartments,2018-01-01,2019,Existing,296,"Denver, CO",North Jefferson County,39.794604,-105.111154,2018.0,2018-2020,2018-2020
East Range Crossings,2018-02-01,2019,Existing,252,"Denver, CO",East Denver,39.804713,-104.765157,2018.0,2018-2020,2018-2020
Christine Place,2017-11-01,2019,Existing,96,"Denver, CO",Northeast Adams County,39.997409,-104.79889,2017.0,nan,2018-2020
Littleton Crossing,2018-04-01,2019,Existing,63,"Denver, CO",Englewood/Littleton,39.615893,-105.017593,2018.0,2018-2020,2018-2020
Avalon Lowry,2018-04-01,2019,Existing,347,"Denver, CO",East Denver,39.716659,-104.904348,2018.0,2018-2020,2018-2020
The Depot at Twenty Mile,2018-10-01,2019,Existing,200,"Denver, CO",South Douglas County,39.5463,-104.776902,2018.0,2018-2020,2018-2020
Marq Iliff Station,2018-04-01,2019,Existing,316,"Denver, CO",Aurora,39.674438,-104.824744,2018.0,2018-2020,2018-2020
The Kasserman,2017-10-01,2019,Existing,100,"Denver, CO",West Denver,39.761565,-105.009182,2017.0,nan,2018-2020
Neon Local,2018-07-01,2020,Existing,238,"Denver, CO",Downtown Denver,39.715034,-104.988178,2018.0,2018-2020,2018-2020
Alameda View Apartments,2018-06-01,2020,Existing,116,"Denver, CO",Aurora,39.70976,-104.80793,2018.0,2018-2020,2018-2020
Bromwell,2018-09-01,2020,Existing,170,"Denver, CO",Downtown Denver,39.72153,-104.982924,2018.0,2018-2020,2018-2020
Creekline Townhomes,2019-10-01,2020,Existing,68,"Denver, CO",Aurora,39.675452,-104.887806,2019.0,2018-2020,2018-2020
Modena Cherry Creek,2019-03-01,2020,Existing,96,"Denver, CO",Aurora,39.671989,-104.889866,2019.0,2018-2020,2018-2020
Range View Apartments,2019-09-01,2020,Existing,223,"Denver, CO",South Adams County,39.747931,-104.820594,2019.0,2018-2020,2018-2020
Basecamp Apartments,,2020,Existing,72,"Denver, CO",North Jefferson County,39.754866,-105.233537,2018.291390728477,2018-2020,2018-2020
Circa Fitzsimons,2019-04-01,2020,Existing,280,"Denver, CO",South Adams County,39.754105,-104.850999,2019.0,2018-2020,2018-2020
Atlantis,2018-05-01,2020,Existing,144,"Denver, CO",Downtown Denver,39.712683,-104.992794,2018.0,2018-2020,2018-2020
Walnut Flats,2019-03-01,2020,Existing,66,"Denver, CO",Downtown Denver,39.770154,-104.972579,2019.0,2018-2020,2018-2020
Vida at Sloan's Lake,2018-04-01,2020,Existing,176,"Denver, CO",West Denver,39.740631,-105.040155,2018.0,2018-2020,2018-2020
Park 17,2017-08-01,2020,Existing,190,"Denver, CO",Downtown Denver,39.742769,-104.971249,2017.0,nan,2018-2020
The Pullman,2017-01-01,2020,Existing,168,"Denver, CO",Downtown Denver,39.756372,-104.998495,2017.0,nan,2018-2020
Milo,2018-06-01,2020,Existing,319,"Denver, CO",East Denver,39.732383,-104.939072,2018.0,2018-2020,2018-2020
Kabin,2019-05-01,2020,Existing,195,"Denver, CO",Downtown Denver,39.771258,-104.985506,2019.0,2018-2020,2018-2020
Dayton Station Luxury Townhomes,2019-02-01,2020,Existing,63,"Denver, CO",Glendale University Area,39.646764,-104.878727,2019.0,2018-2020,2018-2020
Incline 45,2019-04-01,2020,Existing,270,"Denver, CO",East Denver,39.777424,-104.774222,2019.0,2018-2020,2018-2020
Chroma Apartments,2019-08-01,2020,Existing,359,"Denver, CO",Highlands Ranch-Lone Tree,39.555056,-105.002282,2019.0,2018-2020,2018-2020
The Mezz | Fiddler's Green,2019-03-01,2020,Existing,149,"Denver, CO",DTC/Southeast Corridor,39.600093,-104.898612,2019.0,2018-2020,2018-2020
Residences at Hoffman,2020-01-01,2020,Existing,85,"Denver, CO",Aurora,39.737185,-104.83089,2020.0,2018-2020,2018-2020
Peoria Crossing,2018-11-01,2020,Existing,210,"Denver, CO",South Adams County,39.759425,-104.846594,2018.0,2018-2020,2018-2020
The Elisabetta,2019-03-01,2020,Existing,91,"Denver, CO",Downtown Denver,39.789773,-104.987066,2019.0,2018-2020,2018-2020
Deco,2017-11-01,2020,Existing,350,"Denver, CO",Glendale University Area,39.677364,-104.940026,2017.0,nan,2018-2020
Alta Green Mountain,2019-01-01,2020,Existing,260,"Denver, CO",Lakewood/West Corridor,39.700114,-105.146202,2019.0,2018-2020,2018-2020
Ridge at Castle Rock,2018-09-01,2020,Existing,204,"Denver, CO",South Douglas County,39.401355,-104.889333,2018.0,2018-2020,2018-2020
Alexan Julian,2018-03-01,2020,Existing,202,"Denver, CO",West Denver,39.769042,-105.032939,2018.0,2018-2020,2018-2020
Terracina Apartment Homes - Phase II,,2020,Existing,100,"Denver, CO",Broomfield County,39.943614,-105.122582,2018.291390728477,2018-2020,2018-2020
Modera LoHi,2019-02-01,2020,Existing,132,"Denver, CO",West Denver,39.759012,-105.009805,2019.0,2018-2020,2018-2020
Aspire 7th & Grant,2017-11-01,2020,Existing,178,"Denver, CO",Downtown Denver,39.726853,-104.983195,2017.0,nan,2018-2020
Camden RiNo,2018-05-01,2020,Existing,233,"Denver, CO",Downtown Denver,39.764676,-104.978237,2018.0,2018-2020,2018-2020
Zia Sunnyside,2018-09-01,2020,Existing,434,"Denver, CO",West Denver,39.772706,-104.998736,2018.0,2018-2020,2018-2020
Overture 9th and Colorado,2018-02-01,2020,Existing,207,"Denver, CO",East Denver,39.732583,-104.937857,2018.0,2018-2020,2018-2020
Curate at Orchard Town Center,2019-11-01,2020,Existing,270,"Denver, CO",Northeast Adams County,39.963334,-104.994592,2019.0,2018-2020,2018-2020
Raleigh at Sloan's Lake,2018-04-01,2020,Existing,249,"Denver, CO",West Denver,39.743314,-105.040794,2018.0,2018-2020,2018-2020
Notable Apartments,,2020,Existing,218,"Denver, CO",Lakewood/West Corridor,39.728256,-105.127782,2018.291390728477,2018-2020,2018-2020
Nine Mile Station Senior Living,2018-12-01,2020,Existing,50,"Denver, CO",Aurora,39.662275,-104.845699,2018.0,2018-2020,2018-2020
Luxe At Mile High,2017-07-01,2020,Existing,382,"Denver, CO",West Denver,39.739374,-105.027753,2017.0,nan,2018-2020
Larkridge Apartments,2018-11-01,2020,Existing,338,"Denver, CO",Northeast Adams County,39.988478,-104.982094,2018.0,2018-2020,2018-2020
The Alcott,2018-04-01,2020,Existing,248,"Denver, CO",West Denver,39.752692,-105.017086,2018.0,2018-2020,2018-2020
The Fremont,2019-06-01,2020,Existing,253,"Denver, CO",South Adams County,39.748768,-104.835543,2019.0,2018-2020,2018-2020
West 38,2018-11-01,2020,Existing,165,"Denver, CO",Lakewood/West Corridor,39.770025,-105.078541,2018.0,2018-2020,2018-2020
The Flats at Two Creeks,2018-09-01,2020,Existing,78,"Denver, CO",Lakewood/West Corridor,39.739021,-105.061105,2018.0,2018-2020,2018-2020
Brandon Courtyard,2018-02-01,2020,Existing,104,"Denver, CO",West Denver,39.741189,-105.050163,2018.0,2018-2020,2018-2020
Apex Meridian East,2019-10-01,2020,Existing,156,"Denver, CO",Highlands Ranch-Lone Tree,39.557923,-104.864025,2019.0,2018-2020,2018-2020
The Lodge at Ken Caryl Senior Living,2017-09-01,2020,Existing,138,"Denver, CO",South Jefferson County,39.574893,-105.136001,2017.0,nan,2018-2020
Gables Vista,2017-10-01,2020,Existing,255,"Denver, CO",Downtown Denver,39.709673,-104.942866,2017.0,nan,2018-2020
Connect at First Creek Apartments,2018-07-01,2020,Existing,150,"Denver, CO",East Denver,39.797972,-104.778864,2018.0,2018-2020,2018-2020
The Haven,2018-02-01,2020,Existing,206,"Denver, CO",East Denver,39.791851,-104.773354,2018.0,2018-2020,2018-2020
Peakline at Copperleaf,2020-05-01,2020,Existing,266,"Denver, CO",Aurora,39.636473,-104.737071,2020.0,2018-2020,2018-2020
Moline at Stapleton,,2020,Existing,180,"Denver, CO",East Denver,39.755022,-104.851848,2018.291390728477,2018-2020,2018-2020
The Stella,2020-01-01,2021,Existing,132,"Denver, CO",Downtown Denver,39.790776,-104.987143,2020.0,2018-2020,2021-2022
Alton Jefferson Park,2019-06-01,2021,Existing,122,"Denver, CO",West Denver,39.758056,-105.024763,2019.0,2018-2020,2021-2022
Avilla Eastlake,2018-07-01,2021,Existing,244,"Denver, CO",Northwest Adams County,39.9203,-104.974884,2018.0,2018-2020,2021-2022
Brickhouse at Lamar Station,2017-02-01,2021,Existing,293,"Denver, CO",Lakewood/West Corridor,39.736349,-105.066253,2017.0,nan,2021-2022
Caraway Apartments,2020-04-01,2021,Existing,116,"Denver, CO",Northwest Adams County,39.830554,-104.987977,2020.0,2018-2020,2021-2022
Clear Creek Crossing,2020-07-01,2021,Existing,310,"Denver, CO",Lakewood/West Corridor,39.77014,-105.147075,2020.0,2018-2020,2021-2022
Broadstone Olivine,2019-10-01,2021,Existing,326,"Denver, CO",South Jefferson County,39.612442,-105.087028,2019.0,2018-2020,2021-2022
AMLI at Uptown,2018-03-01,2021,Existing,316,"Denver, CO",Downtown Denver,39.742576,-104.980229,2018.0,2018-2020,2021-2022
Kappa Tower II,,2021,Existing,70,"Denver, CO",East Denver,39.784979,-104.883803,2019.3516483516485,2018-2020,2021-2022
RYE SoBo,2020-04-01,2021,Existing,353,"Denver, CO",Downtown Denver,39.710922,-104.991978,2020.0,2018-2020,2021-2022
Bloom at Cherry Creek,2020-03-01,2021,Existing,111,"Denver, CO",Glendale University Area,39.69963,-104.932617,2020.0,2018-2020,2021-2022
The Overland,2019-08-01,2021,Existing,140,"Denver, CO",West Denver,39.679362,-104.991463,2019.0,2018-2020,2021-2022
Market Station Apartments,2018-06-01,2021,Existing,225,"Denver, CO",Downtown Denver,39.75054,-104.997967,2018.0,2018-2020,2021-2022
MAA Westglenn,2020-01-01,2021,Existing,306,"Denver, CO",North Jefferson County,39.860328,-105.079256,2020.0,2018-2020,2021-2022
Art District Flats,2019-05-01,2021,Existing,126,"Denver, CO",Downtown Denver,39.736241,-104.999068,2019.0,2018-2020,2021-2022
Stella on the Park,2018-07-01,2021,Existing,216,"Denver, CO",Aurora,39.7122,-104.817961,2018.0,2018-2020,2021-2022
Affinity at Copperleaf,2019-12-01,2021,Existing,170,"Denver, CO",Aurora,39.637318,-104.730895,2019.0,2018-2020,2021-2022
Airie Denver,2020-01-01,2021,Existing,176,"Denver, CO",East Denver,39.702949,-104.890053,2020.0,2018-2020,2021-2022
Lamar Station Crossing Phase II,2020-12-01,2021,Existing,65,"Denver, CO",Lakewood/West Corridor,39.735791,-105.064692,2020.0,2018-2020,2021-2022
The Audrey,2020-12-01,2021,Existing,134,"Denver, CO",Highlands Ranch-Lone Tree,39.546534,-104.997635,2020.0,2018-2020,2021-2022
The Edison at Wheat Ridge Apartments,2018-01-01,2021,Existing,231,"Denver, CO",Lakewood/West Corridor,39.766158,-105.082631,2018.0,2018-2020,2021-2022
Bighorn Crossing,2020-06-01,2021,Existing,74,"Denver, CO",Clear Creek County,39.720893,-105.694272,2020.0,2018-2020,2021-2022
32nd & Shoshone,2020-04-01,2021,Existing,53,"Denver, CO",West Denver,39.762467,-105.009231,2020.0,2018-2020,2021-2022
4400 Syracuse,2019-09-01,2021,Existing,316,"Denver, CO",DTC/Southeast Corridor,39.636384,-104.898401,2019.0,2018-2020,2021-2022
757 Grant,2020-01-01,2021,Existing,68,"Denver, CO",Downtown Denver,39.728255,-104.983993,2020.0,2018-2020,2021-2022
Vue West,2019-09-01,2021,Existing,310,"Denver, CO",DTC/Southeast Corridor,39.626795,-104.909674,2019.0,2018-2020,2021-2022
Wheat Ridge Town Center North Apartments,2020-03-01,2021,Existing,140,"Denver, CO",Lakewood/West Corridor,39.776258,-105.078582,2020.0,2018-2020,2021-2022
Westminster Row,,2021,Existing,274,"Denver, CO",North Jefferson County,39.860217,-105.061661,2019.3516483516485,2018-2020,2021-2022
AMLI Art District,2019-08-01,2021,Existing,337,"Denver, CO",Downtown Denver,39.761528,-104.990169,2019.0,2018-2020,2021-2022
Five 810 Southlands,2020-09-01,2021,Existing,270,"Denver, CO",Outlying Arapahoe County,39.610377,-104.711663,2020.0,2018-2020,2021-2022
St. Mark's Village,2020-01-01,2021,Existing,216,"Denver, CO",Northwest Adams County,39.873303,-105.027585,2020.0,2018-2020,2021-2022
Edit at River North,2019-06-01,2021,Existing,366,"Denver, CO",Downtown Denver,39.767633,-104.975814,2019.0,2018-2020,2021-2022
Sheridan Station Apartments,2019-06-01,2021,Existing,133,"Denver, CO",Lakewood/West Corridor,39.734005,-105.054785,2019.0,2018-2020,2021-2022
The Hooper Five Points,2019-05-01,2021,Existing,103,"Denver, CO",Downtown Denver,39.753986,-104.978726,2019.0,2018-2020,2021-2022
Legacy at Fitz,2019-11-01,2021,Existing,363,"Denver, CO",Aurora,39.738806,-104.833431,2019.0,2018-2020,2021-2022
Bridges at Flatiron,2020-07-01,2021,Existing,327,"Denver, CO",Broomfield County,39.930392,-105.122286,2020.0,2018-2020,2021-2022
The Julian at Sloan’s Lake,2017-05-01,2021,Existing,54,"Denver, CO",West Denver,39.74102,-105.031869,2017.0,nan,2021-2022
Talus Flats,2020-04-01,2021,Existing,111,"Denver, CO",South Douglas County,39.403139,-104.887906,2020.0,2018-2020,2021-2022
Bromley at Brighton Crossing,2020-06-01,2021,Existing,315,"Denver, CO",Northeast Adams County,39.988527,-104.7546,2020.0,2018-2020,2021-2022
AlfaCharlie,2020-12-01,2021,Existing,239,"Denver, CO",East Denver,39.814768,-104.768542,2020.0,2018-2020,2021-2022
Aspire Westminster,2019-04-01,2021,Existing,226,"Denver, CO",North Jefferson County,39.859554,-105.060827,2019.0,2018-2020,2021-2022
Camber Apartments,2020-11-01,2021,Existing,240,"Denver, CO",East Denver,39.806745,-104.76804,2020.0,2018-2020,2021-2022
Modera Art Park,2020-03-01,2021,Existing,417,"Denver, CO",Downtown Denver,39.768213,-104.982202,2020.0,2018-2020,2021-2022
Axis West Flats,2020-04-01,2021,Existing,59,"Denver, CO",Lakewood/West Corridor,39.735438,-105.055817,2020.0,2018-2020,2021-2022
AVA RiNo,2019-11-01,2021,Existing,246,"Denver, CO",Downtown Denver,39.758049,-104.98346,2019.0,2018-2020,2021-2022
